id,category,input,behavior,tools,expected_json,notes
TC013,simple,Berapa suhu ruang tamu saat ini?,tool_call,get_last_log_by_device_name,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""get_last_log_by_device_name"",""parameters"":{""deviceName"":""Suhu ruangan""}}]}",
TC014,simple,Cek suhu ruang tamu,tool_call,get_last_log_by_device_name,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""get_last_log_by_device_name"",""parameters"":{""deviceName"":""Suhu ruangan""}}]}",
TC015,simple,Suhu ruang tamu berapa derajat?,tool_call,get_last_log_by_device_name,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""get_last_log_by_device_name"",""parameters"":{""deviceName"":""Suhu ruangan""}}]}",
TC016,simple,Nyalakan kipas,tool_call,set_actuator_state_by_device_name,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""set_actuator_state_by_device_name"",""parameters"":{""deviceName"":""Kipas"",""state"":""on""}}]}",
TC017,simple,Matikan kipas,tool_call,set_actuator_state_by_device_name,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""set_actuator_state_by_device_name"",""parameters"":{""deviceName"":""Kipas"",""state"":""off""}}]}",
TC018,simple,Hidupkan kipas ruang tamu,tool_call,set_actuator_state_by_device_name,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""set_actuator_state_by_device_name"",""parameters"":{""deviceName"":""Kipas"",""state"":""on""}}]}",
TC019,simple,Berikan data suhu terbaru ruang tamu,tool_call,get_last_log_by_device_name,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""get_last_log_by_device_name"",""parameters"":{""deviceName"":""Suhu ruangan""}}]}",
TC020,simple,Apakah kipas menyala?,tool_call,get_last_log_by_device_name,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""get_last_log_by_device_name"",""parameters"":{""deviceName"":""Kipas""}}]}",
TC021,simple,Data sensor suhu ruang tamu apa?,tool_call,get_last_log_by_device_name,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""get_last_log_by_device_name"",""parameters"":{""deviceName"":""Suhu ruangan""}}]}",
TC022,simple,Status kipas bagaimana?,tool_call,get_last_log_by_device_name,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""get_last_log_by_device_name"",""parameters"":{""deviceName"":""Kipas""}}]}",
TC023,simple,Apakah lampu ruang tamu menyala?,tool_call,get_last_log_by_device_name,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""get_last_log_by_device_name"",""parameters"":{""deviceName"":""Lampu ruang tamu""}}]}",
TC024,simple,Status lampu ruang tamu bagaimana?,tool_call,get_last_log_by_device_name,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""get_last_log_by_device_name"",""parameters"":{""deviceName"":""Lampu ruang tamu""}}]}",
TC025,simple,Lampu kamar sedang nyala atau mati?,tool_call,get_last_log_by_device_name,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""get_last_log_by_device_name"",""parameters"":{""deviceName"":""Lampu ruang tamu""}}]}",
TC026,simple,Tampilkan daftar semua perangkat,tool_call,list_devices,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""list_devices"",""parameters"":{}}]}",
TC027,simple,Lihat semua device yang terdaftar,tool_call,list_devices,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""list_devices"",""parameters"":{}}]}",
TC028,simple,Ada perangkat apa saja di sistem?,tool_call,list_devices,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""list_devices"",""parameters"":{}}]}",
TC029,simple,Tampilkan daftar perangkat halaman pertama,tool_call,list_devices,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""list_devices"",""parameters"":{""page"":0}}]}",
TC030,simple,Tampilkan 10 riwayat suhu terakhir ruang tamu,tool_call,get_last_10_logs_by_device_name,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""get_last_10_logs_by_device_name"",""parameters"":{""deviceName"":""Suhu ruangan""}}]}",
TC031,simple,Lihat 10 log terakhir lampu ruang tamu,tool_call,get_last_10_logs_by_device_name,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""get_last_10_logs_by_device_name"",""parameters"":{""deviceName"":""Lampu ruang tamu""}}]}",
TC032,simple,Tampilkan 10 riwayat kipas terakhir,tool_call,get_last_10_logs_by_device_name,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""get_last_10_logs_by_device_name"",""parameters"":{""deviceName"":""Kipas""}}]}",
TC033,simple,Catat suhu ruang tamu 28 derajat,tool_call,create_device_log,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""create_device_log"",""parameters"":{""deviceName"":""Suhu ruangan"",""deviceLogData"":""28""}}]}",
TC034,simple,Catat status kipas sedang menyala,tool_call,create_device_log,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""create_device_log"",""parameters"":{""deviceName"":""Kipas"",""deviceLogData"":""1""}}]}",
TC035,simple,Tampilkan semua aturan otomatis yang ada,tool_call,list_automation_rules,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""list_automation_rules"",""parameters"":{}}]}",
TC036,medium,Jadwalkan nyalakan lampu ruang tamu besok jam 07:30,tool_call,schedule_actuator_state_at,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""schedule_actuator_state_at"",""parameters"":{""deviceName"":""Lampu ruang tamu"",""state"":""on"",""category"":""once"",""hour"":7,""minute"":30}}],""schedule"":[{""deviceName"":""Lampu ruang tamu"",""action"":""on"",""category"":""once"",""hour"":7,""minute"":30,""timezone"":""Asia/Jakarta""}]}",
TC037,medium,Nyalakan lampu ruang tamu nanti jam 20:00,tool_call,schedule_actuator_state_at,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""schedule_actuator_state_at"",""parameters"":{""deviceName"":""Lampu ruang tamu"",""state"":""on"",""category"":""once"",""hour"":20,""minute"":0}}],""schedule"":[{""deviceName"":""Lampu ruang tamu"",""action"":""on"",""category"":""once"",""hour"":20,""minute"":0,""timezone"":""Asia/Jakarta""}]}",
TC038,medium,Matikan lampu ruang tamu jam 23:00 nanti malam,tool_call,schedule_actuator_state_at,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""schedule_actuator_state_at"",""parameters"":{""deviceName"":""Lampu ruang tamu"",""state"":""off"",""category"":""once"",""hour"":23,""minute"":0}}],""schedule"":[{""deviceName"":""Lampu ruang tamu"",""action"":""off"",""category"":""once"",""hour"":23,""minute"":0,""timezone"":""Asia/Jakarta""}]}",
TC039,medium,Jadwalkan mematikan lampu ruang tamu tanggal 25-12-2026 jam 22:00,tool_call,schedule_actuator_state_at,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""schedule_actuator_state_at"",""parameters"":{""deviceName"":""Lampu ruang tamu"",""state"":""off"",""category"":""once"",""hour"":22,""minute"":0,""date"":""25-12-2026""}}],""schedule"":[{""deviceName"":""Lampu ruang tamu"",""action"":""off"",""category"":""once"",""hour"":22,""minute"":0,""timezone"":""Asia/Jakarta""}]}",
TC040,medium,Nyalakan lampu ruang tamu tanggal 01-01-2027 jam 00:00,tool_call,schedule_actuator_state_at,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""schedule_actuator_state_at"",""parameters"":{""deviceName"":""Lampu ruang tamu"",""state"":""on"",""category"":""once"",""hour"":0,""minute"":0,""date"":""01-01-2027""}}],""schedule"":[{""deviceName"":""Lampu ruang tamu"",""action"":""on"",""category"":""once"",""hour"":0,""minute"":0,""timezone"":""Asia/Jakarta""}]}",
TC041,medium,Set jadwal lampu ruang tamu menyala jam 06:15 besok pagi,tool_call,schedule_actuator_state_at,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""schedule_actuator_state_at"",""parameters"":{""deviceName"":""Lampu ruang tamu"",""state"":""on"",""category"":""once"",""hour"":6,""minute"":15}}],""schedule"":[{""deviceName"":""Lampu ruang tamu"",""action"":""on"",""category"":""once"",""hour"":6,""minute"":15,""timezone"":""Asia/Jakarta""}]}",
TC042,medium,Nyalakan lampu ruang tamu setiap hari jam 18:00,tool_call,schedule_actuator_state_at,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""schedule_actuator_state_at"",""parameters"":{""deviceName"":""Lampu ruang tamu"",""state"":""on"",""category"":""repeat"",""hour"":18,""minute"":0}}],""schedule"":[{""deviceName"":""Lampu ruang tamu"",""action"":""on"",""category"":""repeat"",""hour"":18,""minute"":0,""timezone"":""Asia/Jakarta""}]}",
TC043,medium,Matikan lampu ruang tamu setiap hari jam 06:00,tool_call,schedule_actuator_state_at,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""schedule_actuator_state_at"",""parameters"":{""deviceName"":""Lampu ruang tamu"",""state"":""off"",""category"":""repeat"",""hour"":6,""minute"":0}}],""schedule"":[{""deviceName"":""Lampu ruang tamu"",""action"":""off"",""category"":""repeat"",""hour"":6,""minute"":0,""timezone"":""Asia/Jakarta""}]}",
TC044,medium,Setiap hari jam 19:30 hidupkan lampu ruang tamu,tool_call,schedule_actuator_state_at,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""schedule_actuator_state_at"",""parameters"":{""deviceName"":""Lampu ruang tamu"",""state"":""on"",""category"":""repeat"",""hour"":19,""minute"":30}}],""schedule"":[{""deviceName"":""Lampu ruang tamu"",""action"":""on"",""category"":""repeat"",""hour"":19,""minute"":30,""timezone"":""Asia/Jakarta""}]}",
TC045,medium,Setiap pagi jam 05:45 matikan lampu ruang tamu,tool_call,schedule_actuator_state_at,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""schedule_actuator_state_at"",""parameters"":{""deviceName"":""Lampu ruang tamu"",""state"":""off"",""category"":""repeat"",""hour"":5,""minute"":45}}],""schedule"":[{""deviceName"":""Lampu ruang tamu"",""action"":""off"",""category"":""repeat"",""hour"":5,""minute"":45,""timezone"":""Asia/Jakarta""}]}",
TC046,medium,Jadwalkan lampu ruang tamu menyala tiap hari jam 17:00,tool_call,schedule_actuator_state_at,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""schedule_actuator_state_at"",""parameters"":{""deviceName"":""Lampu ruang tamu"",""state"":""on"",""category"":""repeat"",""hour"":17,""minute"":0}}],""schedule"":[{""deviceName"":""Lampu ruang tamu"",""action"":""on"",""category"":""repeat"",""hour"":17,""minute"":0,""timezone"":""Asia/Jakarta""}]}",
TC047,medium,Setiap hari jam 21:00 lampu ruang tamu dimatikan otomatis,tool_call,schedule_actuator_state_at,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""schedule_actuator_state_at"",""parameters"":{""deviceName"":""Lampu ruang tamu"",""state"":""off"",""category"":""repeat"",""hour"":21,""minute"":0}}],""schedule"":[{""deviceName"":""Lampu ruang tamu"",""action"":""off"",""category"":""repeat"",""hour"":21,""minute"":0,""timezone"":""Asia/Jakarta""}]}",
TC048,medium,Jadwalkan ambil data suhu ruang tamu jam 09:00 besok,tool_call,schedule_sensor_data_at,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""schedule_sensor_data_at"",""parameters"":{""deviceName"":""Suhu ruangan"",""category"":""once"",""hour"":9,""minute"":0}}],""schedule"":[{""deviceName"":""Suhu ruangan"",""category"":""once"",""hour"":9,""minute"":0,""timezone"":""Asia/Jakarta""}]}",
TC049,medium,Nyalakan kipas setiap hari jam 12:00,tool_call,schedule_actuator_state_at,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""schedule_actuator_state_at"",""parameters"":{""deviceName"":""Kipas"",""state"":""on"",""category"":""repeat"",""hour"":12,""minute"":0}}],""schedule"":[{""deviceName"":""Kipas"",""action"":""on"",""category"":""repeat"",""hour"":12,""minute"":0,""timezone"":""Asia/Jakarta""}]}",
TC050,medium,Jadwalkan cek suhu ruang tamu setiap hari jam 07:00,tool_call,schedule_sensor_data_at,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""schedule_sensor_data_at"",""parameters"":{""deviceName"":""Suhu ruangan"",""category"":""repeat"",""hour"":7,""minute"":0}}],""schedule"":[{""deviceName"":""Suhu ruangan"",""category"":""repeat"",""hour"":7,""minute"":0,""timezone"":""Asia/Jakarta""}]}",
TC051,medium,Ambil data lampu ruang tamu jam 15:00 nanti,tool_call,schedule_sensor_data_at,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""schedule_sensor_data_at"",""parameters"":{""deviceName"":""Lampu ruang tamu"",""category"":""once"",""hour"":15,""minute"":0}}],""schedule"":[{""deviceName"":""Lampu ruang tamu"",""category"":""once"",""hour"":15,""minute"":0,""timezone"":""Asia/Jakarta""}]}",
TC052,medium,Tampilkan 5 jadwal terakhir yang dibuat,tool_call,list_scheduled_jobs,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""list_scheduled_jobs"",""parameters"":{""limit"":5}}]}",
TC053,medium,Lihat semua jadwal yang sedang aktif,tool_call,list_scheduled_jobs,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""list_scheduled_jobs"",""parameters"":{}}]}",
TC054,medium,Tampilkan status jadwal dengan id job-123,tool_call,get_scheduled_job_result,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""get_scheduled_job_result"",""parameters"":{""jobId"":""job-123""}}]}",
TC055,medium,Tampilkan daftar perangkat 5 per halaman,tool_call,list_devices,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""list_devices"",""parameters"":{""size"":5}}]}",
TC056,medium,Lihat perangkat halaman kedua ukuran 10,tool_call,list_devices,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""list_devices"",""parameters"":{""page"":1,""size"":10}}]}",
TC057,medium,Tampilkan daftar aturan otomatis yang sedang aktif saja,tool_call,list_automation_rules,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""list_automation_rules"",""parameters"":{""isActive"":true}}]}",
TC058,medium,Nonaktifkan aturan otomatis dengan id 2,tool_call,set_automation_rule_active,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""set_automation_rule_active"",""parameters"":{""ruleId"":2,""isActive"":false}}]}",
TC059,medium,Aktifkan kembali aturan otomatis id 1,tool_call,set_automation_rule_active,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""set_automation_rule_active"",""parameters"":{""ruleId"":1,""isActive"":true}}]}",
TC060,medium,Hapus aturan otomatis dengan id 4,tool_call,delete_automation_rule,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""delete_automation_rule"",""parameters"":{""ruleId"":4}}]}",
TC061,complex,Nyalakan lampu ruang tamu jika suhu ruang tamu di atas 30 derajat,tool_call,create_automation_rule,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""create_automation_rule"",""parameters"":{""originalPrompt"":""Nyalakan lampu ruang tamu jika suhu ruang tamu di atas 30 derajat"",""trigger"":{""deviceName"":""Suhu ruangan"",""metric"":""temperature""},""conditions"":[{""metric"":""temperature"",""operator"":"">"",""threshold"":30}],""actions"":[{""deviceName"":""Lampu ruang tamu"",""state"":""on""}]}}],""rule"":[{""triggerDeviceName"":""Suhu ruangan"",""triggerMetric"":""temperature"",""conditions"":[{""metric"":""temperature"",""operator"":"">"",""threshold"":30}],""actions"":[{""deviceName"":""Lampu ruang tamu"",""state"":""on""}],""conditionLogic"":""AND""}]}",
TC062,complex,Matikan lampu ruang tamu kalau suhu ruang tamu turun di bawah 20 derajat,tool_call,create_automation_rule,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""create_automation_rule"",""parameters"":{""originalPrompt"":""Matikan lampu ruang tamu kalau suhu ruang tamu turun di bawah 20 derajat"",""trigger"":{""deviceName"":""Suhu ruangan"",""metric"":""temperature""},""conditions"":[{""metric"":""temperature"",""operator"":""<"",""threshold"":20}],""actions"":[{""deviceName"":""Lampu ruang tamu"",""state"":""off""}]}}],""rule"":[{""triggerDeviceName"":""Suhu ruangan"",""triggerMetric"":""temperature"",""conditions"":[{""metric"":""temperature"",""operator"":""<"",""threshold"":20}],""actions"":[{""deviceName"":""Lampu ruang tamu"",""state"":""off""}],""conditionLogic"":""AND""}]}",
TC063,complex,Nyalakan kipas jika suhu ruangan di atas 30 derajat,tool_call,create_automation_rule,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""create_automation_rule"",""parameters"":{""originalPrompt"":""Nyalakan kipas jika suhu ruangan di atas 30 derajat"",""trigger"":{""deviceName"":""Suhu ruangan"",""metric"":""temperature""},""conditions"":[{""metric"":""temperature"",""operator"":"">"",""threshold"":30}],""actions"":[{""deviceName"":""Kipas"",""state"":""on""}]}}],""rule"":[{""triggerDeviceName"":""Suhu ruangan"",""triggerMetric"":""temperature"",""conditions"":[{""metric"":""temperature"",""operator"":"">"",""threshold"":30}],""actions"":[{""deviceName"":""Kipas"",""state"":""on""}],""conditionLogic"":""AND""}]}","Skenario canonical brief — trigger Suhu ruangan, action Kipas."
TC064,complex,"Jika suhu ruang tamu lebih dari 32 derajat, matikan lampu ruang tamu",tool_call,create_automation_rule,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""create_automation_rule"",""parameters"":{""originalPrompt"":""Jika suhu ruang tamu lebih dari 32 derajat, matikan lampu ruang tamu"",""trigger"":{""deviceName"":""Suhu ruangan"",""metric"":""temperature""},""conditions"":[{""metric"":""temperature"",""operator"":"">"",""threshold"":32}],""actions"":[{""deviceName"":""Lampu ruang tamu"",""state"":""off""}]}}],""rule"":[{""triggerDeviceName"":""Suhu ruangan"",""triggerMetric"":""temperature"",""conditions"":[{""metric"":""temperature"",""operator"":"">"",""threshold"":32}],""actions"":[{""deviceName"":""Lampu ruang tamu"",""state"":""off""}],""conditionLogic"":""AND""}]}",
TC065,complex,Nyalakan lampu ruang tamu otomatis kalau suhu ruang tamu minimal 29 derajat,tool_call,create_automation_rule,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""create_automation_rule"",""parameters"":{""originalPrompt"":""Nyalakan lampu ruang tamu otomatis kalau suhu ruang tamu minimal 29 derajat"",""trigger"":{""deviceName"":""Suhu ruangan"",""metric"":""temperature""},""conditions"":[{""metric"":""temperature"",""operator"":"">="",""threshold"":29}],""actions"":[{""deviceName"":""Lampu ruang tamu"",""state"":""on""}]}}],""rule"":[{""triggerDeviceName"":""Suhu ruangan"",""triggerMetric"":""temperature"",""conditions"":[{""metric"":""temperature"",""operator"":"">="",""threshold"":29}],""actions"":[{""deviceName"":""Lampu ruang tamu"",""state"":""on""}],""conditionLogic"":""AND""}]}",
TC066,complex,Matikan kipas jika suhu ruangan turun di bawah 25 derajat,tool_call,create_automation_rule,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""create_automation_rule"",""parameters"":{""originalPrompt"":""Matikan kipas jika suhu ruangan turun di bawah 25 derajat"",""trigger"":{""deviceName"":""Suhu ruangan"",""metric"":""temperature""},""conditions"":[{""metric"":""temperature"",""operator"":""<"",""threshold"":25}],""actions"":[{""deviceName"":""Kipas"",""state"":""off""}]}}],""rule"":[{""triggerDeviceName"":""Suhu ruangan"",""triggerMetric"":""temperature"",""conditions"":[{""metric"":""temperature"",""operator"":""<"",""threshold"":25}],""actions"":[{""deviceName"":""Kipas"",""state"":""off""}],""conditionLogic"":""AND""}]}",
TC067,complex,Buat aturan: matikan lampu ruang tamu jika suhu ruang tamu tepat 25 derajat,tool_call,create_automation_rule,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""create_automation_rule"",""parameters"":{""originalPrompt"":""Buat aturan: matikan lampu ruang tamu jika suhu ruang tamu tepat 25 derajat"",""trigger"":{""deviceName"":""Suhu ruangan"",""metric"":""temperature""},""conditions"":[{""metric"":""temperature"",""operator"":""=="",""threshold"":25}],""actions"":[{""deviceName"":""Lampu ruang tamu"",""state"":""off""}]}}],""rule"":[{""triggerDeviceName"":""Suhu ruangan"",""triggerMetric"":""temperature"",""conditions"":[{""metric"":""temperature"",""operator"":""=="",""threshold"":25}],""actions"":[{""deviceName"":""Lampu ruang tamu"",""state"":""off""}],""conditionLogic"":""AND""}]}",
TC068,complex,Nyalakan lampu ruang tamu jika suhu ruang tamu di atas 27 derajat dengan cooldown 10 menit,tool_call,create_automation_rule,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""create_automation_rule"",""parameters"":{""originalPrompt"":""Nyalakan lampu ruang tamu jika suhu ruang tamu di atas 27 derajat dengan cooldown 10 menit"",""trigger"":{""deviceName"":""Suhu ruangan"",""metric"":""temperature""},""conditions"":[{""metric"":""temperature"",""operator"":"">"",""threshold"":27}],""actions"":[{""deviceName"":""Lampu ruang tamu"",""state"":""on""}],""cooldownSec"":600}}],""rule"":[{""triggerDeviceName"":""Suhu ruangan"",""triggerMetric"":""temperature"",""conditions"":[{""metric"":""temperature"",""operator"":"">"",""threshold"":27}],""actions"":[{""deviceName"":""Lampu ruang tamu"",""state"":""on""}],""conditionLogic"":""AND""}]}",
TC069,complex,Nyalakan kipas sekarang dan buat aturan matikan otomatis jika suhu ruangan di bawah 25 derajat,tool_call,set_actuator_state_by_device_name; create_automation_rule,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""set_actuator_state_by_device_name"",""parameters"":{""deviceName"":""Kipas"",""state"":""on""}},{""tool"":""create_automation_rule"",""parameters"":{""originalPrompt"":""Nyalakan kipas sekarang dan buat aturan matikan otomatis jika suhu ruangan di bawah 25 derajat"",""trigger"":{""deviceName"":""Suhu ruangan"",""metric"":""temperature""},""conditions"":[{""metric"":""temperature"",""operator"":""<"",""threshold"":25}],""actions"":[{""deviceName"":""Kipas"",""state"":""off""}]}}],""rule"":[{""triggerDeviceName"":""Suhu ruangan"",""triggerMetric"":""temperature"",""conditions"":[{""metric"":""temperature"",""operator"":""<"",""threshold"":25}],""actions"":[{""deviceName"":""Kipas"",""state"":""off""}],""conditionLogic"":""AND""}]}",
TC070,complex,Nyalakan kipas jika suhu ruangan di atas 30 derajat dengan cooldown 5 menit,tool_call,create_automation_rule,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""create_automation_rule"",""parameters"":{""originalPrompt"":""Nyalakan kipas jika suhu ruangan di atas 30 derajat dengan cooldown 5 menit"",""trigger"":{""deviceName"":""Suhu ruangan"",""metric"":""temperature""},""conditions"":[{""metric"":""temperature"",""operator"":"">"",""threshold"":30}],""actions"":[{""deviceName"":""Kipas"",""state"":""on""}],""cooldownSec"":300}}],""rule"":[{""triggerDeviceName"":""Suhu ruangan"",""triggerMetric"":""temperature"",""conditions"":[{""metric"":""temperature"",""operator"":"">"",""threshold"":30}],""actions"":[{""deviceName"":""Kipas"",""state"":""on""}],""conditionLogic"":""AND""}]}",
TC071,complex,Nyalakan lampu ruang tamu sekarang dan jadwalkan mati jam 06:00 setiap hari,tool_call,set_actuator_state_by_device_name; schedule_actuator_state_at,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""set_actuator_state_by_device_name"",""parameters"":{""deviceName"":""Lampu ruang tamu"",""state"":""on""}},{""tool"":""schedule_actuator_state_at"",""parameters"":{""deviceName"":""Lampu ruang tamu"",""state"":""off"",""category"":""repeat"",""hour"":6,""minute"":0}}],""schedule"":[{""deviceName"":""Lampu ruang tamu"",""action"":""off"",""category"":""repeat"",""hour"":6,""minute"":0,""timezone"":""Asia/Jakarta""}]}",
TC072,complex,Matikan lampu ruang tamu sekarang dan jadwalkan nyala lagi besok jam 07:00,tool_call,set_actuator_state_by_device_name; schedule_actuator_state_at,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""set_actuator_state_by_device_name"",""parameters"":{""deviceName"":""Lampu ruang tamu"",""state"":""off""}},{""tool"":""schedule_actuator_state_at"",""parameters"":{""deviceName"":""Lampu ruang tamu"",""state"":""on"",""category"":""once"",""hour"":7,""minute"":0}}],""schedule"":[{""deviceName"":""Lampu ruang tamu"",""action"":""on"",""category"":""once"",""hour"":7,""minute"":0,""timezone"":""Asia/Jakarta""}]}",
TC073,complex,Berikan suhu ruangan dan status kipas sekarang,tool_call,get_last_log_by_device_name; get_last_log_by_device_name,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""get_last_log_by_device_name"",""parameters"":{""deviceName"":""Suhu ruangan""}},{""tool"":""get_last_log_by_device_name"",""parameters"":{""deviceName"":""Kipas""}}]}",
TC074,complex,Cek status lampu ruang tamu dan suhu ruang tamu saat ini,tool_call,get_last_log_by_device_name; get_last_log_by_device_name,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""get_last_log_by_device_name"",""parameters"":{""deviceName"":""Lampu ruang tamu""}},{""tool"":""get_last_log_by_device_name"",""parameters"":{""deviceName"":""Suhu ruangan""}}]}",
